;0;1;Metodo
0;1.0;C:\Users\felipesa\Desktop\Medium\apple1.jpg;Correlation
1;0.9955869118098477;C:\Users\felipesa\Desktop\Medium\apple2.jpg;Correlation
2;0.9943271642843401;C:\Users\felipesa\Desktop\Medium\apple_green.jpg;Correlation
3;0.9887997628416324;C:\Users\felipesa\Desktop\Medium\pineapple.jpg;Correlation
4;0.9783351830706278;C:\Users\felipesa\Desktop\Medium\apple3.jpg;Correlation
0;0.0;C:\Users\felipesa\Desktop\Medium\apple1.jpg;Chi-Squared
1;3.0822302338813787;C:\Users\felipesa\Desktop\Medium\apple3.jpg;Chi-Squared
2;5.854045358547277;C:\Users\felipesa\Desktop\Medium\apple2.jpg;Chi-Squared
3;16.59379513626239;C:\Users\felipesa\Desktop\Medium\apple_green.jpg;Chi-Squared
4;27.32225824108174;C:\Users\felipesa\Desktop\Medium\pineapple.jpg;Chi-Squared
0;1.473337583560351;C:\Users\felipesa\Desktop\Medium\apple1.jpg;Intersection
1;1.3311827465117858;C:\Users\felipesa\Desktop\Medium\apple2.jpg;Intersection
2;1.2869157007007743;C:\Users\felipesa\Desktop\Medium\apple3.jpg;Intersection
3;1.1894561882545531;C:\Users\felipesa\Desktop\Medium\pineapple.jpg;Intersection
4;1.1602716740198957;C:\Users\felipesa\Desktop\Medium\apple_green.jpg;Intersection
0;0.0;C:\Users\felipesa\Desktop\Medium\apple1.jpg;Bhattacharyya
1;0.2358779223289008;C:\Users\felipesa\Desktop\Medium\apple2.jpg;Bhattacharyya
2;0.2380422518486663;C:\Users\felipesa\Desktop\Medium\apple3.jpg;Bhattacharyya
3;0.31880031650727286;C:\Users\felipesa\Desktop\Medium\pineapple.jpg;Bhattacharyya
4;0.33888650204040976;C:\Users\felipesa\Desktop\Medium\apple_green.jpg;Bhattacharyya
